Post,Sentiment
I absolutely love this product! Highly recommend it.,Positive
"The service was terrible, I am very disappointed.",Negative
"Not bad, but could be better.",Neutral
"Amazing experience, will definitely come back again.",Positive
"Worst purchase ever, do not buy!",Negative
Pretty good for the price.,Positive
I am not happy with the quality of this product.,Negative
Fantastic service and quick delivery.,Positive
Very unsatisfied with the customer support.,Negative
This is the best brand I have ever used.,Positive
